Rxn name	Formula	Gene-reaction association	LB	UB	Objective
GLNt2r	h[e] + gln__L[e]  -> h[c] + gln__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C00451g or YALI0_C09889g or YALI0_C17237g or YALI0_D15422g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
HISt2r	h[e] + his__L[e]  -> h[c] + his__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
ILEt6	h[v] + ile__L[c]  -> h[c] + ile__L[v] 	YALI0_F30063g	  0.00	1000.00	  0.00
ILEt7	h[v] + ile__L[v]  -> h[c] + ile__L[c] 	YALI0_E10637g	  0.00	1000.00	  0.00
ILEt2r	h[e] + ile__L[e]  -> h[c] + ile__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
y001206	lac__L[c]  -> lac__L[m] 	YALI0_C15488g or YALI0_C21406g or YALI0_D20108g or YALI0_D24607g or YALI0_E32901g	  0.00	1000.00	  0.00
L_LACt2r	lac__L[e] + h[e]  -> lac__L[c] + h[c] 	YALI0_C15488g or YALI0_C21406g or YALI0_D20108g or YALI0_D24607g or YALI0_E32901g	  0.00	1000.00	  0.00
LEUt6	h[v] + leu__L[c]  -> h[c] + leu__L[v] 	YALI0_F30063g	  0.00	1000.00	  0.00
LEUt7	h[v] + leu__L[v]  -> h[c] + leu__L[c] 	YALI0_E10637g	  0.00	1000.00	  0.00
LEUt2r	h[e] + leu__L[e]  -> h[c] + leu__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
LYSt2r	h[e] + lys__L[e]  -> h[c] + lys__L[c] 	YALI0_B09537g or YALI0_B16522g or YALI0_B19338g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
METt2r	h[e] + met__L[e]  -> h[c] + met__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g or YALI0_F25795g	  0.00	1000.00	  0.00
PHEt2r	h[e] + phe__L[e]  -> h[c] + phe__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
PROt2r	h[e] + pro__L[e]  -> h[c] + pro__L[c] 	YALI0_B09537g or YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_D15422g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
SERt2r	h[e] + ser__L[e]  -> h[c] + ser__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C00451g or YALI0_C09889g or YALI0_C17237g or YALI0_D15422g or YALI0_E10219g or YALI0_E20713g or YALI0_F19866g	  0.00	1000.00	  0.00
THRt2r	h[e] + thr__L[e]  -> h[c] + thr__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
TRPt2r	h[e] + trp__L[e]  -> h[c] + trp__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
TYRt6	h[v] + tyr__L[c]  -> h[c] + tyr__L[v] 	YALI0_F30063g	  0.00	1000.00	  0.00
TYRt7	h[v] + tyr__L[v]  -> h[c] + tyr__L[c] 	YALI0_E10637g	  0.00	1000.00	  0.00
TYRt2r	h[e] + tyr__L[e]  -> h[c] + tyr__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
VALt2r	h[e] + val__L[e]  -> h[c] + val__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
LANOSTt	lanost[e]  -> lanost[c] 	YALI0_E14729g or YALI0_F17996g or YALI0_D25828g or YALI0_B02544g or YALI0_C20265g or YALI0_B12980g	  0.00	1000.00	  0.00
MALtm	mal__L[c] + pi[m]  -> mal__L[m] + pi[c] 	YALI0_B03344g	  0.00	1000.00	  0.00
MALTt2	h[e] + malt[e]  -> h[c] + malt[c] 	YALI0_A14212g or YALI0_B00396g	  0.00	1000.00	  0.00
y001229	nad[c]  -> nad[m] 	YALI0_E16478g	  0.00	1000.00	  0.00
y001230	damp[m] + nad[c]  -> damp[c] + nad[m] 	YALI0_E16478g	  0.00	1000.00	  0.00
